Name,x,y
Barking and Dagenham,8,4
Barnet,4,6
Bexley,8,3
Brent,3,5
Bromley,6,2
Camden,4,5
City of London,5,4
Croydon,5,2
Ealing,2,5
Enfield,5,7
Greenwich,7,3
Hackney,6,5
Hammersmith and Fulham,2,4
Haringey,5,6
Harrow,3,6
Havering,8,5
Hillingdon,1,5
Hounslow,1,4
Islington,5,5
Kensington and Chelsea,3,4
Kingston upon Thames,3,2
Lambeth,4,3
Lewisham,6,3
Merton,4,2
Newham,7,4
Redbridge,7,5
Richmond upon Thames,2,3
Southwark,5,3
Sutton,4,1
Tower Hamlets,6,4
Waltham Forest,6,6
Wandsworth,3,3
Westminster,4,4
